,Nome Vinho,Localidade,Harmoniza,Avaliação,Uva,Sentimento
28,Michel Noëllat Vosne-Romanée 2018,"Vosne-Romanée, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",I repeat Excellent wine Its worth letting breathe little,Pinot Noir,positive
29,Michel Noëllat Vosne-Romanée 2018,"Vosne-Romanée, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",A dark PN denser deeper typical variety Crisp chocolate vanilla strawberry slightly bitter aftertaste gone fantastic,Pinot Noir,positive
30,Michel Noëllat Vosne-Romanée 2018,"Vosne-Romanée, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Great Medium ruby color In evolution It time Medium flavor intensity Aromas raspberry cherry coffee vanilla tobacco wood balsamic meat Dry Medium acidity Medium tannins Average balanced alcohol Medium body Medium flavor intensity Medium aftertaste,Pinot Noir,neutral
31,Michel Noëllat Vosne-Romanée 2018,"Vosne-Romanée, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Balanced refined reminds guava nose licorice tannin persistent fine,Pinot Noir,neutral
32,Michel Noëllat Vosne-Romanée 2018,"Vosne-Romanée, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Very burgundy label,Pinot Noir,neutral
33,Michel Noëllat Vosne-Romanée 2018,"Vosne-Romanée, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",cherry raspberry oak,Pinot Noir,neutral
42,Michel Noëllat Vosne-Romanée 2018,"Vosne-Romanée, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Harvest 2020,Pinot Noir,neutral
47,Domaine Pierre Gelin Gevrey-Chambertin Clos de Meixvelle 2017,"Gevrey-Chambertin, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Pinot Noir highly regarded vineyard Bourgogne Smooth tannin black currant plum jammy notes Generally big Pinot Noir special sake impressive finish No words necessary Age worthy Pinot Had 2017 vintage 2023 Had Persian restaurant sommelier rightfully recommended pair food had kebab stew,Pinot Noir,positive
48,Domaine Pierre Gelin Gevrey-Chambertin Clos de Meixvelle 2017,"Gevrey-Chambertin, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",I Pinot Noir time I conquered overwhelmed Two hours aeration enhances nose great combination riped blackcurrant red cherry raspberry smoke tobacco leaf thyme ground pepper It completed emphased palate tones cranberries chocolate coffee spicy notes pepper dehydrated red fruits refined level Rich complex fresh An unforgettable experience,Pinot Noir,positive
49,Domaine Pierre Gelin Gevrey-Chambertin Clos de Meixvelle 2017,"Gevrey-Chambertin, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",How delicious was  Fullbodied finesse complete notes strawberry raspberry A stem incredibly nice acidity  Boom,Pinot Noir,positive
50,Domaine Pierre Gelin Gevrey-Chambertin Clos de Meixvelle 2017,"Gevrey-Chambertin, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",A Pinot Noir Sunday treat  today decided treat glasses Easter  bunny didnt find  hidden  morning  Dont Gevrey Chambertin not Has tannic structure campfire  forest floor feeling Subtle roasted meats add intrigue Cherry red currant fruit factor nice acidity Needed decanter  alas wasnt option here Getting comfort zone here Exploring,Pinot Noir,neutral
51,Domaine Pierre Gelin Gevrey-Chambertin Clos de Meixvelle 2017,"Gevrey-Chambertin, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",2012 Harvest,Pinot Noir,neutral
53,Domaine Pierre Gelin Gevrey-Chambertin Clos de Meixvelle 2017,"Gevrey-Chambertin, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Cherry black pepper oak anise,Pinot Noir,neutral
54,Domaine Pierre Gelin Gevrey-Chambertin Clos de Meixvelle 2017,"Gevrey-Chambertin, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Stunning  What magnificent GevreyChambertin village Pretty fruity aromas cherry pepper smoke slightly woody The wine balanced Silky tannins nice freshness Of finesse elegance Friends love Gorgeous,Pinot Noir,positive
55,Domaine Pierre Gelin Gevrey-Chambertin Clos de Meixvelle 2017,"Gevrey-Chambertin, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Very good straight forward Raspberries strawberries strawberry notes handful cranberries lingonberries At time delicate soft elegant The smoke cigar marshy damp forest rotten leaves light mist Wine evokes associations feelings Very good,Pinot Noir,positive
56,Domaine Pierre Gelin Gevrey-Chambertin Clos de Meixvelle 2017,"Gevrey-Chambertin, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",On nose blueberries pepper blood orange licorice In mouth pepper blood orange background blueberries Excellent freshness touch flavor balanced discreet softness Very good,Pinot Noir,positive
57,Domaine Pierre Gelin Gevrey-Chambertin Clos de Meixvelle 2017,"Gevrey-Chambertin, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",2013 Harvest,Pinot Noir,neutral
58,Domaine Pierre Gelin Gevrey-Chambertin Clos de Meixvelle 2017,"Gevrey-Chambertin, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",A burgundy cork Williams Selyem taste nose Mouth feel bold slightly cottony lovely bold,Pinot Noir,neutral
59,Domaine Pierre Gelin Gevrey-Chambertin Clos de Meixvelle 2017,"Gevrey-Chambertin, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Very nice red gentle pleasant mouth ok acidtannins velvet,Pinot Noir,positive
60,Domaine Pierre Gelin Gevrey-Chambertin Clos de Meixvelle 2017,"Gevrey-Chambertin, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",cherry red fruit raspberry earthy tobacco forest floor,Pinot Noir,neutral
61,Domaine Pierre Gelin Gevrey-Chambertin Clos de Meixvelle 2017,"Gevrey-Chambertin, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Goes Canadian lobster shellgrilled Kagoshima beef fillet poiré sauce sauce mascarpone cheese mousse At Jiro Ashiya Medium ruby color A slightly strong developing wine Aromas roses raspberries strawberries red cherries cloves nutmeg leather mushrooms sous bois Dry moderately high acidity moderate tannins 13 Alc 5 medium  body Strong flavor long aftertaste,Pinot Noir,neutral
62,Domaine Pierre Gelin Gevrey-Chambertin Clos de Meixvelle 2017,"Gevrey-Chambertin, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Lots secondary aromas nose butterscotch toffee baking spices forest floor bramble berry mushroom On palate tart bitter cherry raspberry eucalyptus finishing soft white pepper caramel delicate limestone liquorice finish 135 ABV 21 months oak,Pinot Noir,neutral
63,Domaine Pierre Gelin Gevrey-Chambertin Clos de Meixvelle 2017,"Gevrey-Chambertin, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Good light ruby color nice aroma I didnt recognize 2017 dense vintage leaf tree branch hint Well balanced medium body impressive texture Love drink it Recommended tasted Kei restaurant With TY,Pinot Noir,positive
65,Domaine Pierre Gelin Gevrey-Chambertin Clos de Meixvelle 2017,"Gevrey-Chambertin, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",77100 202293 Come live broadcast home Introduction Oldschool slender burgundy shape made before lingering transparent supportive delicate style Chambertin Village Purple tone Aroma Vanilla cream aroma Produced hot year smells fat uncoordinated It strawberry purple flower tone completely overwhelmed barrel The entrance acidity structure coordination limited,Pinot Noir,neutral
66,Michel Noëllat Nuits-Saint-Georges 2017,"Nuits-Saint-Georges, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Ruby colored wine perceptible tears shiny appearance Complex wellbuilt aroma mix red fruits predominance strawberries fresh raspberries leather Light body medium high acidity slightly present tannins Medium alcohol content 13 It paired deliciously jaguar meat pepperoni pizza,Pinot Noir,neutral
67,Michel Noëllat Nuits-Saint-Georges 2017,"Nuits-Saint-Georges, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",2011 Harvest,Pinot Noir,neutral
76,Michel Noëllat Nuits-Saint-Georges 2017,"Nuits-Saint-Georges, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",2010 Harvest,Pinot Noir,neutral
84,Michel Noëllat Nuits-Saint-Georges 2017,"Nuits-Saint-Georges, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Domaine Michel Noëllat 6th generation family domain 27 hectares spider mysterious Burgundy web greats Under current crop Sophie Sébastien higher level A domaine reputation surely higher ten years time Burgundy expert Jasper Morris This German SaintGeorges domaine Michel Noëllat earthy spicy berry beautifully lightfooted finesse Burgundy best,Pinot Noir,positive
85,Michel Noëllat Nuits-Saint-Georges 2017,"Nuits-Saint-Georges, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",A gamey red fruit nose wet hair cranberry anise The palate jammy heightened baking spice pink peppercorn green bell pepper red cherries blackcurrant plum licorice jam mushroom powder The entrance sweet mid perfume ending dried shrooms 45,Pinot Noir,neutral
86,Domaine Pierre Gelin Fixin 1er Cru 'Les Hervelets' 2017,"Fixin 1er Cru 'Hervelets', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Amazing wine earthy red fruits vanilla palate,Pinot Noir,positive
87,Domaine Pierre Gelin Fixin 1er Cru 'Les Hervelets' 2017,"Fixin 1er Cru 'Hervelets', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Very good In Beaune LExpression Lots red fruit,Pinot Noir,positive
90,Domaine Pierre Gelin Fixin 1er Cru 'Les Hervelets' 2017,"Fixin 1er Cru 'Hervelets', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Tasting blind favorite flight 6 Pinots So perfectly balanced Beautiful racy red fruit This burgundy Love it,Pinot Noir,positive
91,Domaine Pierre Gelin Fixin 1er Cru 'Les Hervelets' 2017,"Fixin 1er Cru 'Hervelets', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Wonderful wine light taste Still tight I opened bottle After glass softer notes mushrooms cherry oak,Pinot Noir,positive
93,Domaine Pierre Gelin Fixin 1er Cru 'Les Hervelets' 2017,"Fixin 1er Cru 'Hervelets', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Earthy mushroom light fruit  cherry strawberry With Matt Sine 40th,Pinot Noir,neutral
94,Domaine Pierre Gelin Fixin 1er Cru 'Les Hervelets' 2017,"Fixin 1er Cru 'Hervelets', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Clear tiled colour The nose magnificent pinot noir In mouth lively balanced lacks bit length,Pinot Noir,neutral
95,Domaine Pierre Gelin Fixin 1er Cru 'Les Hervelets' 2017,"Fixin 1er Cru 'Hervelets', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Thursday night sipper supper Very wine early Needed loads air unwind Philosophical savory Intrigued longterm potential,Pinot Noir,neutral
96,Domaine Pierre Gelin Fixin 1er Cru 'Les Hervelets' 2017,"Fixin 1er Cru 'Hervelets', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",What wine Worth double 5 stars What balance Real masterpiece,Pinot Noir,neutral
97,Domaine Pierre Gelin Fixin 1er Cru 'Les Hervelets' 2017,"Fixin 1er Cru 'Hervelets', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Not,Pinot Noir,negative
98,Domaine Pierre Gelin Fixin 1er Cru 'Les Hervelets' 2017,"Fixin 1er Cru 'Hervelets', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Violet Balance,Pinot Noir,neutral
99,Domaine Pierre Gelin Fixin 1er Cru 'Les Hervelets' 2017,"Fixin 1er Cru 'Hervelets', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Quite nice nose harvest style  I case  concentration,Pinot Noir,neutral
100,Domaine Pierre Gelin Fixin 1er Cru 'Les Hervelets' 2017,"Fixin 1er Cru 'Hervelets', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Nice mastery,Pinot Noir,positive
101,Domaine Pierre Gelin Fixin 1er Cru 'Les Hervelets' 2017,"Fixin 1er Cru 'Hervelets', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Excellent,Pinot Noir,positive
102,Domaine Pierre Gelin Fixin 1er Cru 'Les Hervelets' 2017,"Fixin 1er Cru 'Hervelets', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Good quality,Pinot Noir,positive
103,Domaine Pierre Gelin Fixin 1er Cru 'Les Hervelets' 2017,"Fixin 1er Cru 'Hervelets', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Very balanced red fruit,Pinot Noir,positive
104,Domaine Pierre Gelin Fixin 1er Cru 'Les Hervelets' 2017,"Fixin 1er Cru 'Hervelets', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",2015 Harvest,Pinot Noir,neutral
106,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",45 Blend Pinot Noir 5055 Chardonnay 2833 Pinot Meunier 1520 Matured 36 months pale lemon yellow pronounced intensity aroma green apple Sicilian lemon brioche pasta bread  dry high acidity medium alcohol medium body pronounced intensity long finish,Pinot Noir,neutral
107,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",A delight Intense fine perlage Straw yellow Delicate body acidity measure Great quarantine Sunday,Pinot Noir,positive
108,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",One favorites great value money wine produced Champagne region intense time delicate palate,Pinot Noir,positive
109,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Even age 5 years old perfect Reminiscent green apple easy drink Good perlage golden yellow color,Pinot Noir,positive
110,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Straw yellow fine constant perlage Brioche bakery aromas Good mousse fresh mouthfilling persistent Very champagne,Pinot Noir,positive
111,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",RR95 To celebrate Valentines Day Champagne classic comment spectacular toast special date,Pinot Noir,positive
112,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",What say The Champagne drink bottles paying high price Brazil Its favorite date,Pinot Noir,neutral
113,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Thank friend colleague Thiago Jucá opportunities Wonderful champagne enjoy beloved Letícia Leite,Pinot Noir,neutral
114,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Excellent champagne Light medium body medium acidity refreshing perfect bubbles Aromas green apple lemon light bread,Pinot Noir,positive
115,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Theres mistake Its expression elegance perfect balance Even affiliated wifes friends meetings,Pinot Noir,neutral
116,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Toasting anniversary style high level champagne accompanied starters well Really great deal,Pinot Noir,positive
117,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Tasted Itamambuca beach Ubatuba Brazil Unforgettable starting 2018 fantastic It part beginning year ritual,Pinot Noir,neutral
118,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Great persistent pimples Aroma floral touches pear touches palate low acidity moderate sweetness Great champagne,Pinot Noir,positive
119,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Good quality champagne light straw color constant fine perlage On nose bakery aromas In mouth acidity,Pinot Noir,neutral
120,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",To close year note things comments friends Mrs Veuve comments Cheers,Pinot Noir,neutral
121,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Orio champagne course fruity slightly mineral great perlage delicious aromas white fruits touch herbs Cheers,Pinot Noir,positive
122,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Great creamy persistent perlage citric 3 wellbalanced grape cuts dish lol,Pinot Noir,neutral
123,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",To celebrate phase I called widow bring luck As evaluation classic Health,Pinot Noir,neutral
124,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Always her missing Wonderful champagne Balanced right For times I cellar,Pinot Noir,positive
125,Veuve Clicquot Brut (Carte Jaune) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Fine perlage aromas pineapple citrus green apple white plums spices Persistence aromas flavors  Magnify,Pinot Noir,neutral
126,Casa Valduga 130 Blanc de Noir Special Edition N.V.,"Vale dos Vinhedos, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",For me top 3 Brazilian sparkling wines  A sensational wine shows expression sparkling wine made Pinot Noir I mouth full it I aroma brioche present touch yeast 36 months contact yeasts show  Very good Vagner,Pinot Noir,positive
127,Casa Valduga 130 Blanc de Noir Special Edition N.V.,"Vale dos Vinhedos, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Show Dry perlage acidity yeast present balanced light citrus medium high intensity 44,Pinot Noir,neutral
128,Casa Valduga 130 Blanc de Noir Special Edition N.V.,"Vale dos Vinhedos, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Amazing It leaves desired champagne Perfect New Years Eve Ah longlasting perlage Lots pimples Happy 2023,Pinot Noir,positive
129,Casa Valduga 130 Blanc de Noir Special Edition N.V.,"Vale dos Vinhedos, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Im sparkling wines spectacular Light excessively mineral sweet is balanced I recommend buy more,Pinot Noir,positive
130,Casa Valduga 130 Blanc de Noir Special Edition N.V.,"Vale dos Vinhedos, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Excellent Brazilian sparkling wine Exciting acidity coat Better French Italian Argentinian  I recommend d,Pinot Noir,positive
131,Casa Valduga 130 Blanc de Noir Special Edition N.V.,"Vale dos Vinhedos, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Excellent Brazilian sparkling wine Very mineral fine persistent perlage present discreet yeast Another exceptional Valduga,Pinot Noir,positive
132,Casa Valduga 130 Blanc de Noir Special Edition N.V.,"Vale dos Vinhedos, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Bah This sums beautiful bottle Valduga TopTopTop I definitely uncover blanc noir,Pinot Noir,neutral
133,Casa Valduga 130 Blanc de Noir Special Edition N.V.,"Vale dos Vinhedos, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Nectar average sparkling citrus present constant abundant perlage places national sparkling wine,Pinot Noir,neutral
134,Casa Valduga 130 Blanc de Noir Special Edition N.V.,"Vale dos Vinhedos, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Another perfect Casa Valduga Beautiful color fine perlage persistence creamy Well balanced tasty enjoyable,Pinot Noir,positive
135,Casa Valduga 130 Blanc de Noir Special Edition N.V.,"Vale dos Vinhedos, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Amazing What sparkling pinot  Fabulous Balanced Gold color Very acidity aroma I bought champagne long time fantastic quality,Pinot Noir,positive
